,yelpid,name,lat,lng,distance miles,price rating,price value,review count,review rating,type,address1,city,state,zip
110,yxdmX8dXk5Se9zJ4WAW1pw,Vegetarian Haven,43.65599,-79.39278,842.3063440185987,$$,2,225,4.0,Vegetarian,17 Baldwin Street,Toronto,ON,M5T 1L1
111,s9JXZQq3E5Ol0Dk4zoU6CA,Constantine,43.66858,-79.38537,1015.8360604763446,$$,2,88,3.5,Mediterranean,15 Charles Street E,Toronto,ON,M4Y 1S1
112,uPa5hrWmHm0n1l4MSyVMGQ,Aloette,43.64851,-79.39584,1638.8124336988951,$$$,3,167,4.5,French,163 Spadina Avenue,Toronto,ON,M5V 2A5
113,McVmSLVRJBDWIuQO7D6GJg,Soos,43.6462593,-79.4197464,2708.6792684071515,$$$,3,144,4.0,Malaysian,94 Ossington Avenue,Toronto,ON,M6J 2Y7
114,d4P7boUqiA2pR59jOlzYLA,Assembly Chef's Hall,43.6503522,-79.3837951,1727.1792559226687,$$,2,228,4.0,Food Court,111 Richmond Street W,Toronto,ON,M5H 2G4
115,hkZh4tAa2oJ34i8hxej6Zg,The Gabardine,43.65095,-79.3815,1787.4132796842748,$$,2,363,4.0,Desserts,372 Bay Street,Toronto,ON,M5H 2W9
116,OXW2erFOPT-Oov6wChxWYA,Lee Chen Asian Bistro,43.6473690555399,-79.3867627903819,1909.4858112898012,$$,2,130,4.0,Dim Sum,214 King Street W,Toronto,ON,M5H 3S6
117,4m_hApwQ054v3ue_OxFmGw,Patria,43.6455399,-79.39641,1985.5401043758734,$$$,3,437,4.0,Spanish,480 King Street W,Toronto,ON,M5V 1L7
118,nHFJtud7jWZhM9dHQ1eIRA,Buk Chang Dong Soon Tofu,43.66363,-79.4169299,1709.9544142989944,$,1,430,4.0,Korean,691 Bloor Street W,Toronto,ON,M6G 1L3
119,YAnuTr6PyHRKCVbpg3U9Lw,Maison Close 1888,43.6532,-79.39974,1172.3317754004588,$,1,31,4.5,Cocktail Bars,21 Kensington Avenue,Toronto,ON,M5T 2J8
120,RrqcZLX05djKo1GVLMXMDQ,Korean Village Restaurant,43.66461,-79.41444,1514.8845882069813,$$,2,289,4.0,Korean,628 Bloor Street W,Toronto,ON,M6G 1K7
121,yY3jNsrpCyKTqQuRuLV8gw,Cactus Club Cafe,43.6493899,-79.38214,1874.425463591248,$$$,3,432,4.0,Cocktail Bars,77 Adelaide Street W,Toronto,ON,M5H 1P9
122,A4t1UT6j1lSQN6OM0Oy2GA,Bang Bang Burrito,43.66643,-79.4059,889.5040556139909,$,1,35,4.0,Mexican,366 Bloor St W,Toronto,ON,M5S 1X2
123,trKyIRyjKqVSZmcU0AnICQ,Pearl Diver,43.65163,-79.37375,2195.3900780852687,$$,2,526,4.0,Seafood,100 Adelaide Street E,Toronto,ON,M5C 1K9
124,ls8PFMtycSEvQDOZ5UAoXA,Matha Roti - East Indian Cuisine,43.66209,-79.40613,862.8163629576082,NO $,0,9,4.5,Indian,141 Harbord Street,Toronto,ON,M5S 2M2
125,XnNKFv5xqdPd9K1aAW-uUQ,Hancook Cheese Dakgalbi,43.66457,-79.41304,1407.8258976117152,$$,2,53,4.0,Korean,605 Bloor Street W,Toronto,ON,M6G 1K6
126,WEwf_IKutaFK2t-cdMhEWg,Thai Country Kitchen,43.6561499,-79.39968,854.6222848894092,$,1,126,4.0,Thai,412 Spadina Ave,Toronto,ON,M5T
127,O_UC_izJXcAmkm6HlEyGSA,Playa Cabana,43.6759577692695,-79.4011840224266,1477.3822700988214,$$,2,414,4.0,Mexican,111 Dupont Street,Toronto,ON,M5R 1V4
128,Pz13Ru_-U4qoZiu89ezVmQ,Utsav,43.67094,-79.39086,945.4170140347934,$$,2,117,4.0,Food Delivery Services,69 Yorkville Ave,Toronto,ON,M5R 1B8
129,xA4QVCgYHhuHoziwQNUWBg,Magical Taste of China,43.6535001316136,-79.3948590382934,1089.1888261629972,NO $,0,22,4.0,Chinese,405 Dundas Street W,Toronto,ON,M5T 1G6
130,S_F4XmLUZFv9Uzbjy44_NA,Tabriz Persian Cookhouse,43.66529,-79.38722,713.5360761530727,$$,2,45,4.0,Persian/Iranian,995 Bay street,Toronto,ON,M5S 3C4
131,qIbv9W83eceDWbb24-8Elg,Moliceiro Restaurant,43.64888,-79.42016,2555.8446558235173,$$,2,53,4.5,Portuguese,217 Ossington Avenue,Toronto,ON,M6J 2Z8
132,PD3ganU8NAGkqkcIXYPSxQ,Fudao noodle house,43.65461,-79.39905,1000.7072217160978,$$,2,105,4.0,Chinese,358 Spadina ave,Toronto,ON,M5T 2G4
