,Name,Compound Score,Negative Score,Neutral Score,Postive Score
413,Kimchi Korea House,0.466074796,0.027004894,0.798374388,0.174617455
414,Seoulicious,0.465913507,0.027031733,0.798432059,0.174532954
415,Paldo Gangsan,0.464941234,0.027122565,0.798592532,0.174281656
416,Monga Fried Chicken,0.464345506,0.027173279,0.798751417,0.174072065
417,Provo FoodBar,0.464182956,0.027236672,0.798592084,0.174168013
418,Mi'hito Sushi Laboratory,0.46440282,0.02717083,0.798676873,0.174149073
419,Sorelle and Co,0.4641,0.02723955,0.798643891,0.174113344
420,Mi'Hito Sushi Laboratory,0.463828789,0.027174018,0.798889334,0.17393344
421,Jugemu,0.46447216,0.027184,0.7986504,0.1741624
422,Light Cafe,0.464405267,0.027118915,0.798842777,0.174035116
423,Terroni,0.464492914,0.027207803,0.798737261,0.174052548
424,Thai Fantasy,0.464281652,0.027277204,0.798752979,0.17396664
425,Hidden Burger,0.464215372,0.027335975,0.798729002,0.173931854
426,Chicken Idol,0.464137708,0.027271146,0.798927273,0.173798419
427,Jerk King,0.463861278,0.027397476,0.798814669,0.1737847
428,Churrasqueira Vila Verde Restaurant,0.46409229,0.027367427,0.798742722,0.17388749
429,Dimmi Bar & Trattoria,0.46347292,0.027377551,0.798981947,0.173638148
430,Reposado Bar & Lounge,0.464033359,0.027313234,0.798721222,0.173963195
431,Kost,0.463648438,0.027348438,0.798835156,0.173814063
432,Holy Chuck,0.463687607,0.027369447,0.798774747,0.173853468
433,Spicy Mafia,0.464305288,0.027421462,0.798603421,0.173972784
434,Queen St Warehouse,0.464153607,0.027357642,0.798816912,0.173823119
435,ND Sushi & Grill,0.463612771,0.027350619,0.79899226,0.173654799
436,Kobi Korean Restaurant,0.463940927,0.027372201,0.79877529,0.173850193
437,Mystic Muffin,0.464421649,0.027308937,0.798824345,0.173864407
438,Pizzeria Via Mercanti,0.465338663,0.027245965,0.798657955,0.174093774
439,La Palette,0.465302684,0.027243098,0.798507669,0.174246933
440,Fusaro's Kitchen,0.464631217,0.027323642,0.798583015,0.174091048
441,MaMa Chef Korean Restaurant,0.464115802,0.027327481,0.798816794,0.173854198
442,R&D Restaurant,0.464412643,0.027265042,0.798936786,0.173796649
443,Café Boulud,0.463964742,0.027363222,0.798946809,0.17368845
444,Taste Of Ramen,0.463612453,0.027342445,0.799099468,0.173556568
445,Bar Sybanne,0.4634025,0.027390909,0.798990152,0.173617424
446,Tofu Village - House of Soon Tofu,0.463662207,0.027328798,0.799083144,0.173586546
447,The Captain's Boil,0.464024057,0.027266968,0.799126697,0.173604827
448,Golden Patty,0.46360158,0.027319037,0.799234011,0.173444695
449,DOMA,0.464131306,0.027257508,0.7991997,0.173540541
450,Cosmic Treats,0.464398202,0.027196255,0.799225468,0.17357603
451,The Old Spaghetti Factory,0.464272197,0.027234679,0.799269058,0.173494021
452,Resto Boemo,0.464299254,0.027246831,0.799196122,0.17355481
453,Evoo Ristorante,0.464082589,0.027186012,0.799448661,0.173363095
454,Veda Healthy IndianTakeout,0.464178619,0.027158872,0.799512249,0.173326652
455,Rudy,0.464294815,0.027197037,0.799480741,0.173319259
456,Ho Ga Oriental Cuisine,0.463794531,0.027237251,0.79952476,0.173235033
457,The Dime,0.461918215,0.027438053,0.799633481,0.172926254
458,Saffron Spice Kitchen,0.462716115,0.027377483,0.799464312,0.173155997
459,The Halal Guys,0.463026358,0.027372981,0.799509545,0.173115272
460,Uncle Tony's,0.463153626,0.02738022,0.799378755,0.173238828
461,Tanto,0.463316009,0.027320175,0.799445175,0.173232456
462,Pimentas Grill,0.464265864,0.027260394,0.799103574,0.173633844
